[2023-01-31 20:35:36,072] INFO [local-file-source|task-0] [Producer clientId=connector-producer-local-file-source-0] Resetting the last seen epoch of partition connect-dnf-0 to 0 since the associated topicId changed from null to jsWP38kmQZuuKy7mwsNocw (org.apache.kafka.clients.Metadata:402)
[2023-01-31 20:37:08,005] INFO Kafka Connect stopping (org.apache.kafka.connect.runtime.Connect:66)
[2023-01-31 20:37:08,022] INFO Stopping REST server (org.apache.kafka.connect.runtime.rest.RestServer:320)
[2023-01-31 20:37:08,038] INFO Stopped http_8083@3dddefd8{HTTP/1.1, (http/1.1)}{0.0.0.0:8083} (org.eclipse.jetty.server.AbstractConnector:383)
[2023-01-31 20:37:08,038] INFO node0 Stopped scavenging (org.eclipse.jetty.server.session:149)
[2023-01-31 20:37:08,051] INFO REST server stopped (org.apache.kafka.connect.runtime.rest.RestServer:337)
[2023-01-31 20:37:08,051] INFO Herder stopping (org.apache.kafka.connect.runtime.standalone.StandaloneHerder:106)
[2023-01-31 20:37:08,052] INFO [local-file-source|task-0] Stopping task local-file-source-0 (org.apache.kafka.connect.runtime.Worker:1026)
[2023-01-31 20:37:08,110] INFO [local-file-source|task-0] [Producer clientId=connector-producer-local-file-source-0] Node 0 disconnected. (org.apache.kafka.clients.NetworkClient:937)
[2023-01-31 20:37:08,118] INFO [local-file-source|task-0] [Producer clientId=connector-producer-local-file-source-0] Closing the Kafka producer with timeoutMillis = 30000 ms. (org.apache.kafka.clients.producer.KafkaProducer:1297)
[2023-01-31 20:37:08,122] INFO [local-file-source|task-0] Metrics scheduler closed (org.apache.kafka.common.metrics.Metrics:693)
[2023-01-31 20:37:08,123] INFO [local-file-source|task-0] Closing reporter org.apache.kafka.common.metrics.JmxReporter (org.apache.kafka.common.metrics.Metrics:697)
[2023-01-31 20:37:08,123] INFO [local-file-source|task-0] Metrics reporters closed (org.apache.kafka.common.metrics.Metrics:703)
[2023-01-31 20:37:08,123] INFO [local-file-source|task-0] App info kafka.producer for connector-producer-local-file-source-0 unregistered (org.apache.kafka.common.utils.AppInfoParser:83)
[2023-01-31 20:37:08,127] INFO [local-file-source|worker] Stopping connector local-file-source (org.apache.kafka.connect.runtime.Worker:423)
[2023-01-31 20:37:08,128] INFO [local-file-source|worker] Scheduled shutdown for WorkerConnector{id=local-file-source} (org.apache.kafka.connect.runtime.WorkerConnector:257)
[2023-01-31 20:37:08,130] INFO [local-file-source|worker] Completed shutdown for WorkerConnector{id=local-file-source} (org.apache.kafka.connect.runtime.WorkerConnector:277)
[2023-01-31 20:37:08,130] INFO Worker stopping (org.apache.kafka.connect.runtime.Worker:220)
[2023-01-31 20:37:08,131] INFO Stopped FileOffsetBackingStore (org.apache.kafka.connect.storage.FileOffsetBackingStore:66)
[2023-01-31 20:37:08,131] INFO Metrics scheduler closed (org.apache.kafka.common.metrics.Metrics:693)
[2023-01-31 20:37:08,132] INFO Closing reporter org.apache.kafka.common.metrics.JmxReporter (org.apache.kafka.common.metrics.Metrics:697)
[2023-01-31 20:37:08,132] INFO Metrics reporters closed (org.apache.kafka.common.metrics.Metrics:703)
[2023-01-31 20:37:08,132] INFO App info kafka.connect for 192.168.122.33:8083 unregistered (org.apache.kafka.common.utils.AppInfoParser:83)
[2023-01-31 20:37:08,132] INFO Worker stopped (org.apache.kafka.connect.runtime.Worker:241)
[2023-01-31 20:37:08,134] INFO Herder stopped (org.apache.kafka.connect.runtime.standalone.StandaloneHerder:124)
[2023-01-31 20:37:08,134] INFO Kafka Connect stopped (org.apache.kafka.connect.runtime.Connect:71)
