[2023-02-08 21:10:27,337] INFO [Controller id=0 epoch=17] Sending UpdateMetadata request to brokers HashSet(0) for 0 partitions (state.change.logger)
[2023-02-08 21:10:27,380] INFO [Controller id=0 epoch=17] Sending LeaderAndIsr request to broker 0 with 56 become-leader and 0 become-follower partitions (state.change.logger)
[2023-02-08 21:10:27,382] INFO [Controller id=0 epoch=17] Sending UpdateMetadata request to brokers HashSet(0) for 56 partitions (state.change.logger)
[2023-02-08 21:10:27,484] INFO [Broker id=0] Handling LeaderAndIsr request correlationId 1 from controller 0 for 56 partitions (state.change.logger)
[2023-02-08 21:10:27,523] INFO [Broker id=0] Stopped fetchers as part of LeaderAndIsr request correlationId 1 from controller 0 epoch 17 as part of the become-leader transition for 56 partitions (state.change.logger)
[2023-02-08 21:10:27,533] INFO [Broker id=0] Leader __consumer_offsets-3 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,540] INFO [Broker id=0] Leader quickstart-events-0 with topic id Some(LcV58JZrSMGRE9OWSx_G7A) starts at leader epoch 0 from offset 32 with partition epoch 0, high watermark 32, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,540] INFO [Broker id=0] Leader __consumer_offsets-18 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,544] INFO [Broker id=0] Leader __consumer_offsets-41 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,548] INFO [Broker id=0] Leader __consumer_offsets-10 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 5 with partition epoch 0, high watermark 5, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,548] INFO [Broker id=0] Leader __consumer_offsets-33 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,551] INFO [Broker id=0] Leader __consumer_offsets-48 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,554] INFO [Broker id=0] Leader __consumer_offsets-19 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,554] INFO [Broker id=0] Leader __consumer_offsets-34 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,557] INFO [Broker id=0] Leader __consumer_offsets-4 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,558] INFO [Broker id=0] Leader __consumer_offsets-11 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
